country,GHI_mean,GHI_median,GHI_std,DNI_mean,DNI_median,DNI_std,DHI_mean,DHI_median,DHI_std
Benin-malanville,240.55945243531204,1.8,331.13132727519655,167.18751598173517,-0.1,261.7105006198377,115.3589608066971,1.6,158.69107385933233
SierraLeone-bumbuna,201.95751522070015,0.3,298.4951504289856,116.37633694824963,-0.1,218.65265859128831,113.72057058599697,-0.1,158.94603196076642
Togo-dapaong_qc,230.55503976407917,2.1,322.5323466115293,151.25846898782342,0.0,250.956961657367,116.44435235920851,2.5,156.52071366117192
